Title,Language,Price,Genre
Fully-configurable encompassing Internet solution Book 1,French,22.14,Sci-Fi
Profit-focused non-volatile software Book 2,English,21.36,Sci-Fi
Phased systemic moderator Book 3,English,43.18,Sci-Fi
Robust empowering product Book 4,French,49.08,Mystery
Secured modular budgetary management Book 5,English,7.95,Fiction
Programmable grid-enabled toolset Book 6,English,18.66,Nonfiction
Object-based bifurcated forecast Book 7,French,16.23,Fiction
Customer-focused 3rdgeneration service-desk Book 8,Spanish,46.33,Fiction
Adaptive empowering knowledgebase Book 9,Spanish,33.5,Sci-Fi
Balanced systematic encoding Book 10,English,48.56,Romance
Synergistic 6thgeneration knowledgebase Book 11,English,17.7,Romance
Future-proofed dedicated migration Book 12,English,18.24,Mystery
Quality-focused intermediate frame Book 13,Spanish,38.7,Mystery
Function-based mobile process improvement Book 14,French,17.96,Sci-Fi
Cross-platform motivating ability Book 15,French,31.72,Nonfiction
Cross-group upward-trending contingency Book 16,French,34.36,Mystery
Programmable multi-state array Book 17,Spanish,39.25,Romance
Advanced object-oriented architecture Book 18,English,40.17,Mystery
Reduced explicit hardware Book 19,Spanish,35.74,Nonfiction
Realigned systematic neural-net Book 20,German,30.43,Nonfiction
Switchable uniform strategy Book 21,French,12.78,Fiction
Reactive interactive core Book 22,French,35.71,Mystery
Implemented real-time Internet solution Book 23,Spanish,25.23,Fiction
Reactive radical time-frame Book 24,Spanish,30.61,Nonfiction
Seamless cohesive policy Book 25,Spanish,16.02,Sci-Fi
Robust client-server conglomeration Book 26,German,34.9,Romance
Total maximized system engine Book 27,Spanish,30.39,Sci-Fi
Enterprise-wide context-sensitive emulation Book 28,English,9.7,Romance
Ergonomic system-worthy superstructure Book 29,Spanish,39.43,Nonfiction
Managed grid-enabled budgetary management Book 30,French,26.9,Fiction
Secured intangible focus group Book 31,English,22.62,Nonfiction
Assimilated systemic adapter Book 32,German,12.86,Sci-Fi
Reverse-engineered optimal implementation Book 33,Spanish,34.64,Sci-Fi
Polarized radical Internet solution Book 34,English,32.36,Nonfiction
Team-oriented national synergy Book 35,English,30.89,Fiction
Monitored 24/7 matrix Book 36,French,13.95,Nonfiction
Assimilated regional pricing structure Book 37,Spanish,48.78,Mystery
Mandatory reciprocal portal Book 38,English,23.66,Nonfiction
Digitized 24/7 circuit Book 39,English,32.53,Fiction
Realigned attitude-oriented customer loyalty Book 40,German,18.81,Nonfiction
Customizable solution-oriented approach Book 41,French,24.55,Sci-Fi
Customizable holistic access Book 42,French,7.33,Sci-Fi
Open-architected static toolset Book 43,German,25.3,Fiction
Face-to-face 5thgeneration workforce Book 44,German,19.78,Sci-Fi
Intuitive transitional hierarchy Book 45,French,32.54,Sci-Fi
Enterprise-wide foreground attitude Book 46,English,39.38,Sci-Fi
Synergized actuating moratorium Book 47,French,13.69,Romance
Upgradable homogeneous neural-net Book 48,German,35.78,Romance
Secured scalable groupware Book 49,German,32.04,Nonfiction
Profit-focused value-added definition Book 50,French,23.43,Mystery
Pre-emptive background help-desk Book 51,English,12.03,Nonfiction
Sharable national data-warehouse Book 52,Spanish,39.33,Fiction
Ergonomic bi-directional toolset Book 53,Spanish,49.73,Mystery
Team-oriented encompassing migration Book 54,English,35.6,Sci-Fi
Grass-roots grid-enabled knowledgebase Book 55,English,44.69,Nonfiction
Versatile directional methodology Book 56,French,49.07,Mystery
Centralized context-sensitive knowledgebase Book 57,Spanish,35.86,Nonfiction
Operative radical service-desk Book 58,English,34.97,Nonfiction
Networked systematic knowledge user Book 59,German,7.29,Mystery
Operative zero administration initiative Book 60,German,16.48,Mystery
Monitored explicit projection Book 61,English,40.26,Sci-Fi
De-engineered optimal array Book 62,Spanish,8.5,Romance
Seamless intermediate algorithm Book 63,French,32.4,Fiction
Synchronized maximized policy Book 64,German,15.06,Fiction
Exclusive national encryption Book 65,English,20.46,Fiction
Grass-roots encompassing interface Book 66,French,26.09,Mystery
Synergized directional emulation Book 67,French,24.52,Romance
Open-architected hybrid data-warehouse Book 68,English,10.84,Mystery
Cross-group local focus group Book 69,French,46.14,Nonfiction
Pre-emptive object-oriented protocol Book 70,English,32.09,Mystery
Seamless stable forecast Book 71,English,41.0,Romance
Pre-emptive systemic interface Book 72,Spanish,39.17,Fiction
Assimilated logistical task-force Book 73,English,17.6,Romance
Compatible mobile project Book 74,English,25.92,Romance
Self-enabling value-added budgetary management Book 75,German,29.93,Fiction
Operative optimizing framework Book 76,English,26.15,Fiction
Inverse homogeneous structure Book 77,Spanish,11.45,Fiction
Ergonomic didactic circuit Book 78,German,22.75,Nonfiction
